"","out_tracks","out_vals","out_descriptions","Analyte"
"1",1200939,1020,"","Magnesium"
"2",1900403,135,"","Magnesium"
"3",2200749,128,"Drinking water test for our man camp","Magnesium"
"4",2200769,151,"","Magnesium"
"5",2201073,163,"","Magnesium"
"6",2201529,127,"Out of the hydrant","Magnesium"
"7",2201569,65,"1 set sample from American Prairie","Magnesium"
"8",2201575,56,"Home sample new well mountain","Magnesium"
"9",2201963,97,"test new well Water Quality","Magnesium"
"10",2202059,140,"city well","Magnesium"
"11",2300057,67,"residential well","Magnesium"
"12",2300076,58,"Well","Magnesium"
"13",2300197,62,"For water system house *outside*","Magnesium"
"14",2300274,133,"smells like chlorine bleach","Magnesium"
"15",2300289,129,"","Magnesium"
"16",2300340,114,"Oil Well Converted To Water","Magnesium"
"17",2300344,84,"Grandpa Joe's Reservoir Well","Magnesium"
"18",2300356,67,"sandpoint well water sample","Magnesium"
"19",2300456,113,"Tap water for Greenhouse water sample for flowers","Magnesium"
"20",2300781,67,"","Magnesium"
"21",2300878,136,"","Magnesium"
"22",2300886,96,"","Magnesium"
"23",2300927,136,"outdoor spigot on house","Magnesium"
"24",2300945,156,"","Magnesium"
"25",2300961,107,"North Well Water","Magnesium"
"26",2300968,57,"School Farm and Garden","Magnesium"
"27",2301043,92,"","Magnesium"
"28",2301047,101,"Outdoor Spiget (has a hose that does not come off).","Magnesium"
"29",2301064,70,"Shallow well For shelter belt","Magnesium"
"30",2301074,73,"","Magnesium"
"31",2301099,79,"","Magnesium"
"32",2301245,57,"","Magnesium"
"33",2301262,96,"","Magnesium"
"34",2301274,130,"South well livestock and domestic","Magnesium"
"35",2301275,223,"Domestic and Livestock use North","Magnesium"
"36",2301373,2330,"","Magnesium"
"37",2301795,159,"2nd Sample","Magnesium"
"38",2301811,216,"First sample new system","Magnesium"
"39",2301944,134,"","Magnesium"
