"","out_tracks","out_vals","out_descriptions","Analyte"
"1",1200939,1350,"Out of the hydrant","Sodium"
"2",2200525,726,"Water straight from our well, routed thru house plumbing","Sodium"
"3",2200749,1270,"2nd Sample","Sodium"
"4",2200769,1150,"First sample new system","Sodium"
"5",2201101,2040,"Leach Evaporation Pit","Sodium"
"6",2201104,2940,"Evaporation Pit, Bruins Lease","Sodium"
"7",2201106,2190,"Anna Aronow Evaporation Pit","Sodium"
"8",2201107,2300,"Ahlstead Evaporation Pit","Sodium"
"9",2201113,1440,"Evaporation Pit, Swayee Lease","Sodium"
"10",2201575,809,"Tap water for Greenhouse water sample for flowers","Sodium"
"11",2201906,799,"Swanzey Spring","Sodium"
"12",2202026,951,"sample from reservoir #2","Sodium"
"13",2202073,645,"","Sodium"
"14",2300052,746,"","Sodium"
"15",2300132,1580,"Page 56 Evaporation Pit","Sodium"
"16",2300199,879,"water tested for drinking","Sodium"
"17",2300235,1030,"","Sodium"
"18",2300258,1800,"Real Estate Transaction","Sodium"
"19",2300312,1250,"Ellingson ""A"" Evaporation Pit","Sodium"
"20",2300367,1640,"Goeddertz Evaporation Pit","Sodium"
"21",2300456,669,"Shallow well For shelter belt","Sodium"
"22",2300526,627,"Volborg Deep Well","Sodium"
"23",2300641,728,"","Sodium"
"24",2300647,798,"Troy and Abby Vaira well","Sodium"
"25",2300795,1420,"","Sodium"
"26",2300798,865,"","Sodium"
"27",2300882,729,"","Sodium"
"28",2300886,725,"","Sodium"
"29",2301022,737,"","Sodium"
"30",2301067,750,"","Sodium"
"31",2301095,1110,"","Sodium"
"32",2301096,648,"Full Domestic Analysis Water Sample","Sodium"
"33",2301275,964,"Outdoor Spiget (has a hose that does not come off).","Sodium"
"34",2301373,7130,"Grandpa Joe's Reservoir Well","Sodium"
"35",2301518,995,"Henry Well Sample","Sodium"
